jobName	analysisMode	elapsedTime	maxMem	avgMem	technology	group
THCA-US_TCGA-EM-A2CU_tumor-control	paired	2.87166666666667	7.7	3.7	101bp	paired_101bp
BOCA-UK_CGP_donor_1437423_tumor-control	paired	2.87166666666667	2.6	1.6	101bp	paired_101bp
MASTER-DKFZ_H021-SD8H8Q_tumor-buffy_coat	paired	2.87166666666667	2.6	1.3	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-BJZZCD_metastasis02-buffy_coat	paired	2.87	4.1	2.5	151bp_X10	paired_151bp_X10
PA-DKFZ_ICGC_PA110_tumor-control	paired	2.87	2.4	1.5	101bp	paired_101bp
AML-DKTK_XD001_P004_tumor01-control	paired	2.86833333333333	2.7	1.8	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-ZR1RTB_tumor-buffy_coat02	paired	2.86666666666667	2.9	1.8	151bp_X10	paired_151bp_X10
UCEC-US_TCGA-AP-A0L9_tumor-control	paired	2.86666666666667	2.7	1.4	101bp	paired_101bp
PACA-AU_ICGC_0144_tumor-control	paired	2.86666666666667	2.1	1.2	101bp	paired_101bp
PACA-CA_PCSI_0210_tumor-control	paired	2.865	2.2	1.2	101bp	paired_101bp
MASTER-DKFZ_H021-Q4XVH4_metastasis03-blood	paired	2.86333333333333	2.9	1.8	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-69KU1M_tumor02-blood	paired	2.86333333333333	2.7	1.7	151bp_X10	paired_151bp_X10
CMDI-UK_CGP_donor_1338695_2_tumor-control	paired	2.86166666666667	5.4	3.7	101bp	paired_101bp
PDAC-DKFZ_K20K-BX38MV_patient-derived-culture1-blood1	paired	2.86166666666667	3.5	1.9	151bp_X10	paired_151bp_X10
MELA-AU_MELA-0168_tumor-control	paired	2.86166666666667	3.4	2.2	101bp	paired_101bp
MASTER-DKFZ_H021-B1L7P7_tumor03-buffy_coat02	paired	2.85833333333333	2.6	1.7	151bp_X10	paired_151bp_X10
PAEN-AU_ICGC_0452_tumor-control	paired	2.85833333333333	2.3	1.5	101bp	paired_101bp
MASTER-DKFZ_H021-QLJDYA_tumor-blood	paired	2.85666666666667	2.9	1.7	151bp_X10	paired_151bp_X10
PRAD-CA_CPCG0371_tumor-control	paired	2.85666666666667	2.2	1.4	101bp	paired_101bp
MASTER-DKFZ_H021-QFC8A8_tumor02-buffy_coat	paired	2.855	2.7	1.2	151bp_X10	paired_151bp_X10
PRAD-CA_CPCG0378_tumor-control	paired	2.855	2.2	1.4	101bp	paired_101bp
BRCA-EU_CGP_donor_1353434_tumor-control	paired	2.85	2.9	1.7	101bp	paired_101bp
MASTER-DKFZ_H021-SNM5WB_metastasis-buffy_coat02	paired	2.85	2.6	1.6	151bp_X10	paired_151bp_X10
RECA-EU_C0096_tumor-control	paired	2.85	2.3	1.3	101bp	paired_101bp
STAD-US_TCGA-CD-5799_tumor-control	paired	2.84833333333333	3.4	2.1	101bp	paired_101bp
MASTER-DKFZ_H021-4992WJ_tumor02-buffy_coat	paired	2.84833333333333	2.7	1.3	151bp_X10	paired_151bp_X10
NB-DKFZ_XI003_17102_tumor-control	paired	2.84666666666667	3.6	2.3	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-JDEYZ7_tumor-buffy_coat	paired	2.84666666666667	2.6	0.9873046875	151bp_X10	paired_151bp_X10
RECA-EU_C0029_tumor-control	paired	2.845	2.9	2.2	101bp	paired_101bp
LAML-US_TCGA-AB-2964_tumor-control	paired	2.84333333333333	3.9	2.3	101bp	paired_101bp
COAD-US_TCGA-A6-A567_tumor-control	paired	2.84333333333333	2.5	1.4	101bp	paired_101bp
NB-PMC_B087_PMC_296_tumor01-blood01	paired	2.84166666666667	3.2	2.1	151bp_X10	paired_151bp_X10
PACA-CA_PCSI_0402_tumor-control	paired	2.84	4.6	2.8	101bp	paired_101bp
MASTER-DKFZ_H021-V4X4A3_tumor-buffy_coat	paired	2.84	2.9	1.8	151bp_X10	paired_151bp_X10
LUSC-US_TCGA-66-2766_tumor-control	paired	2.84	2.8	0.9384765625	101bp	paired_101bp
OV-US_TCGA-13-1477_tumor-control	paired	2.84	2.6	1.7	101bp	paired_101bp
PACA-AU_ICGC_0415_tumor-control	paired	2.84	2.4	1.4	101bp	paired_101bp
SYSGLIO-DKFZ_H043-WJ851A_tumor-blood	paired	2.83833333333333	4.1	2.5	151bp_X10	paired_151bp_X10
OV-US_TCGA-10-0937_tumor-control	paired	2.83833333333333	2	0.919921875	101bp	paired_101bp
BOCA-UK_CGP_donor_1437408_tumor-control	paired	2.83666666666667	2.6	1.8	101bp	paired_101bp
MASTER-DKFZ_H021-LVGM5L_metastasis-buffy_coat02	paired	2.83666666666667	2.6	1.5	151bp_X10	paired_151bp_X10
PACA-CA_PCSI_0099_tumor-control	paired	2.83666666666667	2.4	1.4	101bp	paired_101bp
7qAML-DKFZ_H030-2KFQ_tumor-control	paired	2.835	2.9	1.7	151bp_X10	paired_151bp_X10
BRCA-EU_CGP_donor_1187025_tumor-control	paired	2.835	2.7	1.7	101bp	paired_101bp
NB-DKFZ_K09R-2U4CZN_tumor1-blood1	paired	2.83333333333333	3	1.9	151bp_X10	paired_151bp_X10
CESC-US_TCGA-EK-A2RL_tumor-control	paired	2.83333333333333	2.8	1.6	101bp	paired_101bp
SYSGLIO-DKFZ_H043-FEJ7C8_tumor-blood	paired	2.83166666666667	3.7	1.9	151bp_X10	paired_151bp_X10
NB-DKFZ_XI003_21129_tumor-control	paired	2.83	3.3	2.1	151bp_X10	paired_151bp_X10
MELA-AU_MELA-0161_tumor-control	paired	2.83	3	1.7	101bp	paired_101bp
BOCA-UK_CGP_donor_1437413_tumor-control	paired	2.83	2.6	1.8	101bp	paired_101bp
MASTER-DKFZ_H021-4YXNY8_metastasis03-buffy_coat02	paired	2.83	2.6	1.6	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-Q3E59U_metastasis02-buffy_coat02	paired	2.83	2.5	1.1	151bp_X10	paired_151bp_X10
RECA-EU_C0073_tumor-control	paired	2.82833333333333	2.6	1.9	101bp	paired_101bp
THCA-US_TCGA-ET-A2N1_tumor-control	paired	2.825	3.5	2.2	101bp	paired_101bp
LUAD-US_TCGA-67-3771_tumor-control	paired	2.825	3	1.5	101bp	paired_101bp
LAML-US_TCGA-AB-2997_tumor-control	paired	2.82166666666667	4.6	2.8	101bp	paired_101bp
MASTER-DKFZ_H021-VYQLRB_metastasis-buffy_coat02	paired	2.82	2.7	1.6	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-P8DE21_tumor-blood	paired	2.81666666666667	2.8	1.6	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-SWR18F_tumor08-buffy_coat02	paired	2.81666666666667	2.7	1.7	151bp_X10	paired_151bp_X10
BRCA-EU_CGP_donor_1503014_tumor-control	paired	2.815	3.2	1.8	101bp	paired_101bp
LGG-US_TCGA-CS-6669_tumor-control	paired	2.815	2.9	1.9	101bp	paired_101bp
LUAD-US_TCGA-05-4420_tumor-control	paired	2.815	2.5	1.6	101bp	paired_101bp
AML-DKTK_XD001_P114_tumor02-control	paired	2.81333333333333	3	1.8	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-VGNYVL_tumor-buffy_coat02	paired	2.81333333333333	2.8	1.7	151bp_X10	paired_151bp_X10
PGBM-DKFZ_ICGC_GBM28_tumor-control	paired	2.81333333333333	2.7	1.7	101bp	paired_101bp
MASTER-DKFZ_H021-X1RPQL_tumor02-blood	paired	2.81166666666667	2.7	1.7	151bp_X10	paired_151bp_X10
PNET-DKFZ_ICGC_PNET07_tumor-control	paired	2.80833333333333	2.2	1.7	101bp	paired_101bp
SKCM-US_TCGA-DA-A1I8_tumor-control	paired	2.80666666666667	2.4	1.4	101bp	paired_101bp
BLCA-US_TCGA-DK-A1A6_tumor-control	paired	2.80666666666667	2.3	1.5	101bp	paired_101bp
PACA-CA_PCSI_0352_2_tumor-control	paired	2.80666666666667	2.1	1.4	101bp	paired_101bp
SYSGLIO-DKFZ_H043-LQDGD4_tumor-blood	paired	2.805	3.2	2	151bp_X10	paired_151bp_X10
NB-DKFZ_XI003_23011_tumor-control	paired	2.805	3.1	2	151bp_X10	paired_151bp_X10
AML-DKTK_XD001_P111_tumor01-control	paired	2.805	2.7	1.7	151bp_X10	paired_151bp_X10
BOCA-UK_CGP_donor_1691128_tumor-control	paired	2.80333333333333	2.7	1.6	101bp	paired_101bp
PRAD-CA_CPCG0381_tumor-control	paired	2.80333333333333	2.3	1.5	101bp	paired_101bp
LIRI-JP_RK214_tumor-control	paired	2.80166666666667	3.2	2.1	101bp	paired_101bp
BRCA-EU_CGP_donor_1337214_tumor-control	paired	2.80166666666667	2.9	1.6	101bp	paired_101bp
MASTER-DKFZ_H021-RF6GGV_metastasis-buffy_coat02	paired	2.8	2.8	1.5	151bp_X10	paired_151bp_X10
RECA-EU_C0027_tumor-control	paired	2.8	2.7	1.8	101bp	paired_101bp
OV-AU_AOCS-150_tumor-control	paired	2.8	2.1	0.9462890625	101bp	paired_101bp
NB-DKFZ_XI003_17777_tumor-control	paired	2.79833333333333	3.3	1.8	151bp_X10	paired_151bp_X10
BOCA-UK_CGP_donor_1691214_tumor-control	paired	2.79833333333333	2.5	1.3	101bp	paired_101bp
ESAD-UK_OCCAMS-WG-009_tumor-control	paired	2.79833333333333	2.2	1.3	101bp	paired_101bp
UCEC-US_TCGA-AP-A0LI_tumor-control	paired	2.79666666666667	2.8	1.3	101bp	paired_101bp
MASTER-DKFZ_H021-N8HWFF_tumor03-buffy_coat	paired	2.79666666666667	2.7	1.6	151bp_X10	paired_151bp_X10
PRAD-UK_0006_CRUK_PC_0006_4_tumor-control	paired	2.79666666666667	2.5	1.5	101bp	paired_101bp
PACA-CA_PCSI_0096_tumor-control	paired	2.79666666666667	2.3	1.5	101bp	paired_101bp
LIRI-JP_RK133_tumor-control	paired	2.795	2.9	1.8	101bp	paired_101bp
BRCA-EU_CGP_donor_1353426_tumor-control	paired	2.795	2.7	1.6	101bp	paired_101bp
SYSGLIO-DKFZ_H043-D9MRCY_tumor-blood	paired	2.79333333333333	3.6	2.2	151bp_X10	paired_151bp_X10
BOCA-UK_CGP_donor_1691151_tumor-control	paired	2.79333333333333	2.8	1.8	101bp	paired_101bp
MASTER-DKFZ_H021-TGJGBA_metastasis02-buffy_coat02	paired	2.79333333333333	2.6	1.7	151bp_X10	paired_151bp_X10
ESAD-UK_OCCAMS-ZZ-011_tumor-control	paired	2.79333333333333	2.3	1.5	101bp	paired_101bp
PAEN-AU_ICGC_0433_tumor-control	paired	2.79333333333333	2.3	1.4	101bp	paired_101bp
MMML-DKFZ_4126473_merged_tumor-control	paired	2.79166666666667	2.6	1.6	101bp	paired_101bp
BRCA-US_TCGA-E2-A14P_tumor-control	paired	2.79166666666667	2.5	1.2	101bp	paired_101bp
STAD-US_TCGA-F1-6875_tumor-control	paired	2.79	4	1.8	101bp	paired_101bp
PAEN-AU_ITNET-0941_tumor-control	paired	2.79	2.4	1.5	101bp	paired_101bp
NB-DKFZ_K09R-UJECGX_tumor1-blood1	paired	2.78833333333333	3.3	2	151bp_X10	paired_151bp_X10
PRAD-CA_CPCG0262_tumor-control	paired	2.78833333333333	2.6	1.8	101bp	paired_101bp
MASTER-DKFZ_H021-V8TWUJ_tumor-buffy_coat03	paired	2.78833333333333	2.5	1.2	151bp_X10	paired_151bp_X10
ESAD-UK_OCCAMS-AH-143_tumor-control	paired	2.78666666666667	2.5	1.2	101bp	paired_101bp
OV-AU_AOCS-162_tumor-control	paired	2.78666666666667	2.1	0.908203125	101bp	paired_101bp
PRAD-CA_CPCG0246_tumor-control	paired	2.785	3	1.9	101bp	paired_101bp
COAD-US_TCGA-QG-A5Z2_tumor-control	paired	2.785	2.4	1.2	101bp	paired_101bp
PAEN-AU_ICGC_0501_tumor-control	paired	2.785	2.3	1.5	101bp	paired_101bp
BRCA-US_TCGA-BH-A0DG_tumor-control	paired	2.785	2	0.7451171875	101bp	paired_101bp
NB-DKFZ_B087-NB_16841_tumor1-control1	paired	2.78	4.2	2.4	151bp_X10	paired_151bp_X10
MB-DKFZ_ICGC_MB79_tumor-control	paired	2.78	2.9	1.9	101bp	paired_101bp
RMM-DKFZ_H067-37HWC4_tumor-control02	paired	2.77833333333333	3.8	2.2	151bp_X10	paired_151bp_X10
LUSC-US_TCGA-33-4586_tumor-control	paired	2.77666666666667	3.1	1.9	101bp	paired_101bp
BOCA-UK_CGP_donor_1528381_tumor-control	paired	2.77666666666667	2.5	1.4	101bp	paired_101bp
CMDI-UK_CGP_donor_1337966_1_tumor-control	paired	2.775	3.7	2.3	101bp	paired_101bp
LIRI-JP_RK041_tumor-control	paired	2.775	2.6	1.6	101bp	paired_101bp
SARC-US_TCGA-DX-A1L3_tumor-control	paired	2.77333333333333	2	0.833984375	101bp	paired_101bp
UCEC-US_TCGA-AJ-A23M_tumor-control	paired	2.77166666666667	3	1.4	101bp	paired_101bp
LIRI-JP_RK298_tumor-control	paired	2.77166666666667	2.5	1.7	101bp	paired_101bp
LUSC-US_TCGA-66-2759_tumor-control	paired	2.77	3.4	1.9	101bp	paired_101bp
PRAD-CA_CPCG0365_tumor-control	paired	2.77	2.9	2	101bp	paired_101bp
NB-PMC_B087_PMC_325_tumor01-blood01	paired	2.76833333333333	3.4	1.8	151bp_X10	paired_151bp_X10
LGG-US_TCGA-IK-7675_tumor-control	paired	2.76833333333333	2.6	1.7	101bp	paired_101bp
MASTER-DKFZ_H021-3ZPW17_metastasis-buffy_coat	paired	2.76833333333333	2.6	1.6	151bp_X10	paired_151bp_X10
MELA-AU_MELA-0012_tumor-control	paired	2.76833333333333	2	0.7978515625	101bp	paired_101bp
COAD-US_TCGA-A6-A566_tumor-control	paired	2.76666666666667	2.4	1.3	101bp	paired_101bp
SYSGLIO-DKFZ_H043-MXE7Y8_tumor-blood	paired	2.765	2.7	1.5	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-QC7SDC_tumor03-buffy_coat02	paired	2.76333333333333	2.9	1.7	151bp_X10	paired_151bp_X10
RMM-DKFZ_H067-Y3YS6N_tumor-control	paired	2.76166666666667	3	1.9	151bp_X10	paired_151bp_X10
SYSGLIO-DKFZ_H043-URZNJE_tumor02-blood	paired	2.76	3.6	2.3	151bp_X10	paired_151bp_X10
OV-AU_AOCS-058_tumor-control	paired	2.76	2.1	1.1	101bp	paired_101bp
THCA-US_TCGA-BJ-A45K_tumor-control	paired	2.75833333333333	5.5	3.3	101bp	paired_101bp
ALL-DKTK_XD032-U3TFH4_tumor03-control01	paired	2.75833333333333	2.9	1.8	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-143UF9_metastasis02-buffy-coat04	paired	2.75833333333333	2.6	1.4	151bp_X10	paired_151bp_X10
NB-DKFZ_K09R-ZELQUR_tumor1-blood1	paired	2.75666666666667	3.2	1.9	151bp_X10	paired_151bp_X10
LIRI-JP_RK176_tumor-control	paired	2.75666666666667	2.7	1.8	101bp	paired_101bp
MASTER-DKFZ_H021-6B6H6F_tumor02-buffy_coat03	paired	2.75666666666667	2.5	1.6	151bp_X10	paired_151bp_X10
BRCA-US_TCGA-A2-A0D4_tumor-control	paired	2.75666666666667	2.3	1.2	101bp	paired_101bp
BLCA-US_TCGA-BT-A20V_tumor-control	paired	2.755	2.3	1.2	101bp	paired_101bp
BTCA-SG_BTCA_donor_Y008_tumor-control	paired	2.75333333333333	3.8	2.2	101bp	paired_101bp
STAD-US_TCGA-BR-A4J4_tumor-control	paired	2.75333333333333	3.6	2.4	101bp	paired_101bp
SYSGLIO-DKFZ_H043-X33N8G_tumor-blood	paired	2.75333333333333	3.3	2	151bp_X10	paired_151bp_X10
MNG-DKFZ_A033-VUHDJF_tumor-blood	paired	2.75333333333333	3.2	2	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-95BWAH_metastasis02-buffy_coat02	paired	2.75333333333333	2.7	1.7	151bp_X10	paired_151bp_X10
RMM-DKFZ_H067-C5UALT_tumor02-control02	paired	2.75166666666667	4	2.6	151bp_X10	paired_151bp_X10
PACA-CA_PCSI_0274_tumor-control	paired	2.75166666666667	2.1	1.3	101bp	paired_101bp
PACA-CA_PCSI_0303_tumor-control	paired	2.75	3.8	2.5	101bp	paired_101bp
RECA-DKFZ_K03K-AS3V1K_tumor2-blood1	paired	2.75	2.7	1.7	151bp_X10	paired_151bp_X10
LIRI-JP_RK204_1_tumor-control	paired	2.74833333333333	3	2	101bp	paired_101bp
BOCA-UK_CGP_donor_1691210_tumor-control	paired	2.74666666666667	2.9	1.6	101bp	paired_101bp
MASTER-DKFZ_H021-QKQDKB_tumor-blood	paired	2.74666666666667	2.4	1	151bp_X10	paired_151bp_X10
PRAD-UK_0080_CRUK_PC_0080_tumor-control	paired	2.745	2.3	1.5	101bp	paired_101bp
SYSGLIO-DKFZ_H043-5FM91P_tumor-blood	paired	2.74333333333333	3.4	2.1	151bp_X10	paired_151bp_X10
MMML-DKFZ_4142605_tumor-control	paired	2.74333333333333	2.7	1.7	101bp	paired_101bp
MELA-AU_MELA-0230_tumor-control	paired	2.74166666666667	2.6	1	101bp	paired_101bp
PRAD-CA_CPCG0117_tumor-control	paired	2.74166666666667	2.5	1.3	101bp	paired_101bp
LUSC-US_TCGA-66-2744_tumor-control	paired	2.74	4	2.1	101bp	paired_101bp
BRCA-US_TCGA-A2-A04X_tumor-control	paired	2.74	3.6	2.2	101bp	paired_101bp
NB-DKFZ_XI003_STA-NB-6_tumor-control	paired	2.74	3.2	2.1	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-4RCDHX_metastasis-buffy_coat02	paired	2.74	2.8	1.8	151bp_X10	paired_151bp_X10
PRAD-CA_CPCG0387_tumor-control	paired	2.74	2.2	1.4	101bp	paired_101bp
MASTER-DKFZ_H021-C8HAJF_metastasis-buffy_coat	paired	2.73833333333333	2.5	1.1	151bp_X10	paired_151bp_X10
AML-DKTK_XD001_P007_tumor01-control	paired	2.73666666666667	2.9	2	151bp_X10	paired_151bp_X10
LINC-JP_HX5_tumor-control	paired	2.73666666666667	2.4	1.2	101bp	paired_101bp
STAD-US_TCGA-D7-5579_tumor-control	paired	2.735	3.4	1.8	101bp	paired_101bp
MASTER-DKFZ_H021-Z8A8ZT_tumor02-buffy_coat	paired	2.73333333333333	2.8	1.7	151bp_X10	paired_151bp_X10
BOCA-UK_CGP_donor_1691147_tumor-control	paired	2.73333333333333	2.4	1.4	101bp	paired_101bp
GBM-US_TCGA-14-1402_tumor-control	paired	2.73166666666667	3.2	1.8	101bp	paired_101bp
PDAC-DKFZ_K20K-TGDLKH_tumor2-blood1	paired	2.73166666666667	2.7	1.6	151bp_X10	paired_151bp_X10
LIRI-JP_RK104_tumor-control	paired	2.73	2.7	1.8	101bp	paired_101bp
THCA-US_TCGA-DJ-A4UT_tumor-control	paired	2.72833333333333	3.8	2.3	101bp	paired_101bp
NB-DKFZ_XI003_20173_tumor-control	paired	2.72833333333333	2.7	1.4	151bp_X10	paired_151bp_X10
AML-DKTK_XD001_P118_tumor01-control	paired	2.72833333333333	2.6	1.6	151bp_X10	paired_151bp_X10
PRAD-CA_CPCG0391_tumor-control	paired	2.72833333333333	2.5	1.6	101bp	paired_101bp
MB-DKFZ_MDT-AP-2738_tumor-control	paired	2.72666666666667	2.5	1.4	101bp	paired_101bp
LIRI-JP_RK025_tumor-control	paired	2.725	3.4	2.1	101bp	paired_101bp
MASTER-DKFZ_H021-FY2EXE_tumor-buffy_coat02	paired	2.725	2.6	1.7	151bp_X10	paired_151bp_X10
NB-DKFZ_B087wgs_24679_tumor-control	paired	2.72333333333333	3.5	2.3	101bp	paired_101bp
MASTER-DKFZ_H021-FKPP_metastasis-buffy_coat	paired	2.72333333333333	2.7	1.5	151bp_X10	paired_151bp_X10
PACA-CA_PCSI_0413_tumor-control	paired	2.72333333333333	2.6	1.6	101bp	paired_101bp
PAEN-AU_ICGC_0497_tumor-control	paired	2.72166666666667	2.3	1.4	101bp	paired_101bp
THCA-US_TCGA-EM-A2CP_tumor-control	paired	2.72	4	2.3	101bp	paired_101bp
RMM-DKFZ_H067-ZZQ3UP_tumor-control02	paired	2.72	3.9	2.5	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-DWG1JA_tumor-buffy_coat02	paired	2.72	2.5	1.1	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-YCJUT3_tumor-buffy_coat02	paired	2.71833333333333	2.5	1.4	151bp_X10	paired_151bp_X10
NB-DKFZ_XI003_STA-NB-1_pdx-tumor-control	paired	2.71666666666667	3.1	2	151bp_X10	paired_151bp_X10
PACA-CA_PCSI_0476_tumor-control	paired	2.71666666666667	2.6	1.3	101bp	paired_101bp
LIRI-JP_RK032_tumor-control	paired	2.71666666666667	2.4	1.3	101bp	paired_101bp
BLCA-US_TCGA-DK-A1A7_tumor-control	paired	2.71666666666667	2.1	1.1	101bp	paired_101bp
MMML-DKFZ_4124795_tumor-control	paired	2.71333333333333	3.2	1.9	101bp	paired_101bp
MASTER-DKFZ_H021-ATYVKC_tumor-buffy_coat03	paired	2.71333333333333	2.6	1.5	151bp_X10	paired_151bp_X10
OV-AU_AOCS-079_tumor-control	paired	2.71333333333333	2.1	1	101bp	paired_101bp
MASTER-DKFZ_H021-NLX865_metastasis-blood	paired	2.71166666666667	2.6	1.5	151bp_X10	paired_151bp_X10
KIRP-US_TCGA-B1-A47M_tumor-control	paired	2.71166666666667	2.3	1.5	101bp	paired_101bp
PA-DKFZ_ICGC_PA39_tumor-control	paired	2.71166666666667	2.3	1.6	101bp	paired_101bp
THCA-US_TCGA-EL-A3MY_tumor-control	paired	2.71	3.4	2.1	101bp	paired_101bp
BRCA-UK_CGP_donor_1363965_tumor-control	paired	2.71	2.9	1.7	101bp	paired_101bp
MASTER-DKFZ_H021-7Z95ZH_tumor-buffy_coat	paired	2.71	2.6	1.7	151bp_X10	paired_151bp_X10
PRAD-UK_A22-0016_CRUK_PC_0016_1_tumor-control	paired	2.70833333333333	2.4	1.5	101bp	paired_101bp
BRCA-US_TCGA-BH-A0AV_tumor-control	paired	2.70833333333333	2.1	0.9130859375	101bp	paired_101bp
PRAD-UK_A34-0022_CRUK_PC_0022_4_tumor-control	paired	2.70833333333333	2.1	0.8359375	101bp	paired_101bp
RMM-DKFZ_H067-ZZQ3UP_tumor02-control02	paired	2.70666666666667	3.9	2.4	151bp_X10	paired_151bp_X10
LIRI-JP_RK226_tumor-control	paired	2.70666666666667	3.2	2.1	101bp	paired_101bp
MASTER-DKFZ_H021-HBJXZR_tumor-buffy_coat02	paired	2.70666666666667	2.7	1.6	151bp_X10	paired_151bp_X10
KIRP-US_TCGA-A4-A48D_tumor-control	paired	2.70666666666667	2.4	1.5	101bp	paired_101bp
OV-AU_AOCS-078_tumor-control	paired	2.70666666666667	2	1	101bp	paired_101bp
RMM-DKFZ_H067-JAU7SB_tumor02-control02	paired	2.705	4.4	2.9	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-ENGUHR_tumor02-buffy_coat02	paired	2.705	2.7	1.7	151bp_X10	paired_151bp_X10
OV-US_TCGA-04-1367_tumor-control	paired	2.705	2	1	101bp	paired_101bp
SYSGLIO-DKFZ_H043-2JY3_tumor-blood	paired	2.70333333333333	3.7	2.1	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-FY5ZQW_tumor02-buffy_coat	paired	2.70333333333333	2.6	1.1	151bp_X10	paired_151bp_X10
CESC-US_TCGA-EK-A2RE_tumor-control	paired	2.70166666666667	3.5	2.2	101bp	paired_101bp
BRCA-EU_CGP_donor_1347731_tumor-control	paired	2.70166666666667	2.7	1.7	101bp	paired_101bp
MASTER-DKFZ_H021-R45PS7_tumor-buffy_coat02	paired	2.7	2.7	1.6	151bp_X10	paired_151bp_X10
PRAD-UK_A21-0096_CRUK_PC_0096_6_tumor-control	paired	2.7	1.9	1	101bp	paired_101bp
MASTER-DKFZ_H021-11YR8P_tumor04-buffy_coat	paired	2.69833333333333	2.6	1	151bp_X10	paired_151bp_X10
LUSC-US_TCGA-98-8022_tumor-control	paired	2.69666666666667	3	1.9	101bp	paired_101bp
UCEC-US_TCGA-BK-A139_tumor-control	paired	2.69666666666667	2.1	1.1	101bp	paired_101bp
MASTER-DKFZ_H021-6N3MG4_metastasis-blood03	paired	2.695	2.9	1.6	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-LBP79D_tumor-buffy_coat02	paired	2.695	2.5	1.5	151bp_X10	paired_151bp_X10
MPNST2-DKFZ_XI086_T2728_tumor-control	paired	2.695	2.2	1.1	151bp_X10	paired_151bp_X10
LIRI-JP_RK193_tumor-control	paired	2.69333333333333	2.8	1.8	101bp	paired_101bp
LIRI-JP_RK306_tumor-control	paired	2.69333333333333	2.6	1.8	101bp	paired_101bp
ESAD-UK_OCCAMS-AH-136_tumor-control	paired	2.69166666666667	3.1	1.4	101bp	paired_101bp
PACA-CA_PCSI_0406_tumor-control	paired	2.69166666666667	2.8	1.6	101bp	paired_101bp
PRAD-CA_CPCG0255_tumor-control	paired	2.69166666666667	2.3	1.4	101bp	paired_101bp
PACA-AU_ICGC_0067_tumor-control	paired	2.69	2.9	1.9	101bp	paired_101bp
MASTER-DKFZ_H021-UDJRJC_metastasis11-buffy-coat2	paired	2.68833333333333	2.8	1.7	151bp_X10	paired_151bp_X10
UCEC-US_TCGA-DI-A1NN_tumor-control	paired	2.68833333333333	2.3	1.2	101bp	paired_101bp
GBM-US_TCGA-06-0211_tumor-control	paired	2.68666666666667	3.5	2.1	101bp	paired_101bp
BRCA-EU_CGP_donor_1337217_tumor-control	paired	2.68666666666667	3	1.7	101bp	paired_101bp
LAML-KR_SNU_WGS_08_tumor-control	paired	2.68666666666667	2.8	1.9	101bp	paired_101bp
PDAC-DKFZ_K20K-8UGNL7_tumor1-blood1	paired	2.685	2.6	1.7	151bp_X10	paired_151bp_X10
STAD-US_TCGA-D7-6528_tumor-control	paired	2.685	2.2	1.4	101bp	paired_101bp
GACA-CN_CGP_donor_GC00040_tumor-control	paired	2.685	1.9	0.5751953125	101bp	paired_101bp
NB-DKFZ_XI003_STA-NB-13_pdx-tumor-control	paired	2.68333333333333	3	2	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-QW817H_tumor03-buffy_coat	paired	2.68333333333333	2.9	1.7	151bp_X10	paired_151bp_X10
BOCA-UK_CGP_donor_1437424_tumor-control	paired	2.68333333333333	2.5	1.7	101bp	paired_101bp
NB-DKFZ_K09R-QFGH7S_tumor1-blood1	paired	2.68166666666667	3	1.9	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-2RTMCP_tumor03-buffy_coat	paired	2.68166666666667	2.8	1.5	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-1AJ4XJ_metastasis04-buffy_coat02	paired	2.68166666666667	2.4	1.4	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-XQDBRU_tumor-blood	paired	2.68	2.5	1.1	151bp_X10	paired_151bp_X10
SKCM-US_TCGA-GN-A26C_tumor-control	paired	2.67833333333333	2.6	1.6	101bp	paired_101bp
PACA-CA_PCSI_0253_tumor-control	paired	2.67833333333333	2.4	1.6	101bp	paired_101bp
PACA-CA_PCSI_0467_tumor-control	paired	2.67833333333333	2.2	1.3	101bp	paired_101bp
MNG-DKFZ_DKFZ-Mrad_8_tumor-blood	paired	2.67666666666667	2.7	1.6	151bp_X10	paired_151bp_X10
GBM-US_TCGA-06-0686_tumor-control	paired	2.67666666666667	2.6	1.5	101bp	paired_101bp
RECA-EU_C0077_tumor-control	paired	2.675	3.2	2	101bp	paired_101bp
SKCM-US_TCGA-EB-A24D_tumor-control	paired	2.675	2.6	1.8	101bp	paired_101bp
