identifier	minutes	group
c_TCGA-06-0145	581.7	01-controls_101bp
t_ICGC_0406	581.033333333333	02-tumors_101bp
c_TCGA-AB-2982	579.833333333333	01-controls_101bp
t_CPCG0001	575.85	02-tumors_101bp
c_H067-6K8YTY	575.716666666667	03-controls_151bp_X10
t_XI003_21129	575.7	04-tumors_151bp_X10
t_TCGA-EM-A2CU	575.466666666667	02-tumors_101bp
t_XI003_17777	574.733333333333	04-tumors_151bp_X10
t_ICGC_0420	574.383333333333	02-tumors_101bp
t_ICGC_0354	573.466666666667	02-tumors_101bp
t_ICGC_0393	573.2	02-tumors_101bp
t_CPCG0364	572.566666666667	02-tumors_101bp
t_XI003_22951	572.3	04-tumors_151bp_X10
t_ITNET-0134	570.266666666667	02-tumors_101bp
b_H021-RG2E96	570.266666666667	03-controls_151bp_X10
c_H032-P002	567.933333333333	01-controls_101bp
t_TCGA-F1-6875	567.383333333333	02-tumors_101bp
t_MELA-0052	565.983333333333	02-tumors_101bp
t_XI003_21954	565.266666666667	04-tumors_151bp_X10
t_A050-LHT0	564.3	04-tumors_151bp_X10
c_TCGA-78-7146	563.033333333333	01-controls_101bp
t_C0012	559.066666666667	02-tumors_101bp
t_0086_CRUK_PC_0086	558.033333333333	02-tumors_101bp
c_C0092	557.85	01-controls_101bp
t_ITNET-0052	555.833333333333	02-tumors_101bp
t_CPCG0184	554.616666666667	02-tumors_101bp
t_H067-ZZQ3UP	553.716666666667	04-tumors_151bp_X10
t_B087wgs_5563	553.45	02-tumors_101bp
t_CPCG0346	553.433333333333	02-tumors_101bp
m_H032-P002	553.083333333333	02-tumors_101bp
t_ICGC_MB149	552.25	02-tumors_101bp
t_XI061_7EP34	551.85	04-tumors_151bp_X10
c_H021-VUBQ3J	551.483333333333	03-controls_151bp_X10
t_TCGA-66-2789	551.016666666667	02-tumors_101bp
t_B087wgs_19073	550.216666666667	02-tumors_101bp
t_XI003_21248	548.45	04-tumors_151bp_X10
t_MELA-0051	548.133333333333	02-tumors_101bp
t_MELA-0213	547.716666666667	02-tumors_101bp
b_H043-NAFCCV	546.083333333333	03-controls_151bp_X10
t_ICGC_0419	545.233333333333	02-tumors_101bp
t_XI049_9EP7	544.15	04-tumors_151bp_X10
t_TCGA-43-3920	542.7	02-tumors_101bp
t_B087wgs_22496	540.633333333333	02-tumors_101bp
b_H043-PWC258	539.383333333333	03-controls_151bp_X10
t_H032-P002	537.766666666667	02-tumors_101bp
t_PCSI_0047	537.483333333333	02-tumors_101bp
t_ICGC_0109	537.4	02-tumors_101bp
t_XI049_9EP19	537.4	04-tumors_151bp_X10
t_XI061_15EP9	537.333333333333	04-tumors_151bp_X10
t_TCGA-DE-A3KN	537.183333333333	02-tumors_101bp
c_H067-ZZQ3UP	536.033333333333	03-controls_151bp_X10
t_XI003_17863	535.85	04-tumors_151bp_X10
t_TCGA-EL-A3T9	535.316666666667	02-tumors_101bp
t_PCSI_0019	535.183333333333	02-tumors_101bp
t_TCGA-B6-A0I6	535.133333333333	02-tumors_101bp
t_B087wgs_3664	534.75	02-tumors_101bp
c_XI003_25509	533.783333333333	03-controls_151bp_X10
t_XI003_NB-AUT-2	533.683333333333	04-tumors_151bp_X10
c_B087koeln_CLB-GAcell_line	533.483333333333	01-controls_101bp
t_TCGA-50-5066	532.433333333333	02-tumors_101bp
b_H021-2EHFSJ	531.833333333333	03-controls_151bp_X10
c_CGP_donor_GC00004	531.533333333333	01-controls_101bp
b_H021-T2J7Z8	530.95	03-controls_151bp_X10
t_ICGC_0391	530.733333333333	02-tumors_101bp
p_XI003_STA-NB-4	530.683333333333	04-tumors_151bp_X10
t_TCGA-22-5485	530.5	02-tumors_101bp
t_A033-6UE3XW	530.366666666667	04-tumors_151bp_X10
t_MELA-0161	530.266666666667	02-tumors_101bp
t_ICGC_0143	529.85	02-tumors_101bp
t_B087wgs_23040	529.55	02-tumors_101bp
b_H021-MST6JK	528.783333333333	03-controls_151bp_X10
t_XI061_15EP6	528.566666666667	04-tumors_151bp_X10
b_XI061_16EP7	528.533333333333	03-controls_151bp_X10
t_ICGC_0412	528.516666666667	02-tumors_101bp
t_OCCAMS-RS-032	528.216666666667	02-tumors_101bp
t_ICGC_0392	528	02-tumors_101bp
c_H067-MWVBPB	527.916666666667	03-controls_151bp_X10
t_PCSI_0451	526.833333333333	02-tumors_101bp
t_XI061_7EP3	526.716666666667	04-tumors_151bp_X10
b_A033-N4QFCQ	526.6	03-controls_151bp_X10
b_A033-1QSXEY	525.916666666667	03-controls_151bp_X10
t_XI003_15403	525.866666666667	04-tumors_151bp_X10
c_H021-DV5K7F	525.783333333333	03-controls_151bp_X10
r_XI003_25509	525.683333333333	04-tumors_151bp_X10
t_A050-FXXS	525.433333333333	04-tumors_151bp_X10
t_XI003_18874	524.95	04-tumors_151bp_X10
c_H021-H962H2	523.666666666667	03-controls_151bp_X10
t_ICGC_0115	523.383333333333	02-tumors_101bp
c_OCCAMS-PS-014	523.2	01-controls_101bp
t_XI003_20273	522.383333333333	04-tumors_151bp_X10
b_H021-QM4LSB	520.883333333333	03-controls_151bp_X10
c_TCGA-60-2726	520.75	01-controls_101bp
t_ICGC_0135	519.633333333333	02-tumors_101bp
t_MELA-0179	519.466666666667	02-tumors_101bp
t_TCGA-DE-A2OL	518.216666666667	02-tumors_101bp
t_TCGA-B6-A0RT	517.866666666667	02-tumors_101bp
b_H021-56G7K1	517.766666666667	03-controls_151bp_X10
b_H021-CEFU8J	517.466666666667	03-controls_151bp_X10
t_XI003_23011	517.1	04-tumors_151bp_X10
t_OCCAMS-AH-182	516.8	02-tumors_101bp
t_C0099	516.633333333333	02-tumors_101bp
