#chromosomeIndex	startPos	endPos	tadIndex
1	236160000	236760000	266
1	236710000	237840000	267
1	237760000	239600000	268
1	239280000	240240000	269
1	240160000	241690000	270
1	241635000	242120000	271
1	242040000	243280000	272
1	243200000	244760000	273
1	244680000	246200000	274
1	246160000	247080000	275
1	246960000	248925000	276
1	248885000	249250621	277
1	249210621	249250621	278
2	1	680000	279
2	640000	1880000	280
2	1825000	2600000	281
2	2480000	3765000	282
2	3720000	4960000	283
2	4880000	5800000	284
2	5480000	7025000	285
2	6960000	9280000	286
2	9160000	9625000	287
2	9560000	10240000	288
2	10200000	10880000	289
2	10840000	11315000	290
2	11240000	11825000	291
2	11760000	13200000	292
2	13160000	15320000	293
2	15240000	15760000	294
2	15720000	16800000	295
2	16720000	17920000	296
2	17875000	18560000	297
2	18510000	20160000	298
2	20080000	20560000	299
2	20510000	20890000	300
2	20840000	22560000	301
2	22480000	24040000	302
2	24000000	24320000	303
2	24280000	24625000	304
2	24560000	25450000	305
2	25400000	26440000	306
2	26360000	27680000	307
2	27600000	28800000	308
2	28720000	29425000	309
2	29385000	30360000	310
2	30320000	30960000	311
2	30910000	32800000	312
2	32720000	33880000	313
2	33835000	35160000	314
2	35040000	35960000	315
2	35720000	36600000	316
2	36550000	37080000	317
2	37000000	38165000	318
2	38120000	38560000	319
2	38485000	39120000	320
2	39040000	39550000	321
2	39480000	40040000	322
2	40000000	41040000	323
2	40960000	42080000	324
2	42040000	43040000	325
2	42960000	43920000	326
2	43840000	44615000	327
2	44560000	45240000	328
2	45200000	45840000	329
2	45800000	47200000	330
2	47150000	47640000	331
2	47600000	48040000	332
2	48000000	48325000	333
2	48285000	48840000	334
2	48785000	49800000	335
2	49720000	50760000	336
2	50710000	52240000	337
2	51960000	54025000	338
2	53960000	54965000	339
2	54910000	55920000	340
2	55860000	56375000	341
2	56280000	57000000	342
2	56960000	57840000	343
2	57800000	58975000	344
2	58760000	60965000	345
2	60920000	61290000	346
2	61240000	62125000	347
2	62080000	62680000	348
2	62635000	63080000	349
2	63000000	63800000	350
2	63760000	64125000	351
2	64080000	64800000	352
2	64760000	65480000	353
2	65435000	65840000	354
2	65800000	66690000	355
2	66610000	68360000	356
2	68280000	69215000	357
2	69160000	69640000	358
2	69560000	70125000	359
2	70080000	70560000	360
2	70485000	71280000	361
2	71225000	71790000	362
2	71710000	72400000	363
2	72360000	73100000	364
2	73060000	73490000	365
2	73440000	74880000	366
2	74835000	75925000	367
2	75880000	76920000	368
2	76840000	77800000	369
2	77640000	78280000	370
2	78120000	78760000	371
2	78560000	79240000	372
2	79200000	80240000	373
