223972	DDX11L1
227232	WASH7P
243485	MIR1302-2HG
237613	FAM138A
268020	AL627309.6
240361	OR4G11P
186092	OR4F5
238009	AL627309.1
239945	AL627309.3
233750	CICP27
237683	AL627309.1
268903	AL627309.7
269981	AL627309.8
241599	AL627309.4
228463	AP006222.2
235249	OR4F29
236601	RP4-669L17.2
236743	RP5-857K21.15
230021	AL669831.3
235146	AC114498.1
225972	MTND1P23
225630	MTND2P28
237973	MTCO1P12
229344	MTCO2P12
240409	MTATP8P1
248527	MTATP6P1
198744	MTCO3P12
268663	WBP1LP6
284662	OR4F16
229376	CICP3
228327	AL669831.1
235373	RP11-206L10.3
237491	AL669831.5
230092	AL669831.4
269831	AL669831.1
177757	FAM87B
225880	LINC00115
230368	FAM41C
234711	TUBB8P11
283040	AL669831.6
269308	AL645608.2
272438	AL645608.7
230699	AL645608.3
241180	AL645608.5
223764	AL645608.1
187634	SAMD11
268179	AL645608.1
188976	NOC2L
187961	KLHL17
187583	PLEKHN1
187642	PERM1
272512	AL645608.8
188290	HES4
187608	ISG15
231702	AL645608.4
188157	AGRN
217801	AL390719.1
273443	AL645608.9
237330	RNF223
131591	C1orf159
223823	LINC01342
207730	MIR200B
207607	MIR200A
198976	MIR429
272141	AL390719.2
162571	TTLL10
186891	TNFRSF18
186827	TNFRSF4
78808	SDF4
176022	B3GALT6
184163	C1QTNF12
260179	AL162741.1
160087	UBE2J2
230415	LINC01786
162572	SCNN1D
131584	ACAP3
169972	PUSL1
127054	INTS11
224051	CPTP
169962	TAS1R3
107404	DVL1
162576	MXRA8
175756	AURKAIP1
223663	NDUFB4P8
221978	CCNL2
242485	MRPL20
272455	AL391244.3
235098	ANKRD65
205116	TMEM88B
225285	LINC01770
179403	VWA1
215915	ATAD3C
160072	ATAD3B
197785	ATAD3A
205090	TMEM240
160075	SSU72
215014	AL645728.1
274481	AL691432.3
228594	FNDC10
197530	MIB2
189409	MMP23B
248333	CDK11B
189339	SLC35E2B
269737	AL691432.1
215914	MMP23A
8128	CDK11A
227775	AL031282.1
215790	SLC35E2
8130	NADK
78369	GNB1
169885	CALML6
178821	TMEM52
142609	CFAP74
187730	GABRD
67606	PRKCZ
162585	FAAP20
269554	AL590822.2
203301	AL590822.1
234396	AL590822.1
157933	SKI
116151	MORN1
269753	AL589739.1
269896	AL513477.1
157916	RER1
157911	PEX10
149527	PLCH2
157881	PANK4
197921	HES5
272449	AL139246.5
157873	TNFRSF14
228037	AL139246.3
157870	FAM213B
142606	MMEL1
215912	TTC34
233234	AL592464.2
231630	AL592464.1
284745	AL589702.1
169717	ACTRT2
142611	PRDM16
272235	AL590438.1
130762	ARHGEF16
272088	AL512413.1
162591	MEGF6
207776	MIR551A
158109	TPRG1L
116213	WRAP73
78900	TP73
227372	TP73-AS1
162592	CCDC27
235169	SMIM1
130764	LRRC47
116198	CEP104
169598	DFFB
264428	AL691523.1
198912	C1orf174
236423	LINC01134
233304	LINC01346
226374	LINC01345
284668	AL805961.1
284703	AL805961.2
229280	EEF1DP6
235054	LINC01777
284694	AL355602.1
227169	Z98747.1
232596	LINC01646
196581	AJAP1
284739	BX005132.2
284674	BX005132.1
231510	AL691497.1
284616	AL139823.1
284692	Z98259.3
284666	Z98259.2
260972	Z98259.1
283356	Z97988.1
236948	AL365255.1
264341	MIR4417
216045	AL356693.1
264101	MIR4689
131697	NPHP4
266687	AL356261.1
69424	KCNAB2
268332	AL035406.1
116254	CHD5
116251	RPL22
158286	RNF207
116237	ICMT
225077	LINC00337
173673	HES3
158292	GPR153
97021	ACOT7
69812	HES2
187017	ESPN
265392	MIR4252
215788	TNFRSF25
171680	PLEKHG5
162408	NOL9
229519	AL591866.1
173662	TAS1R1
204859	ZBTB48
162413	KLHL21
116273	PHF13
41988	THAP3
7923	DNAJC11
228750	LINC01672
284744	AL591163.1
171735	CAMTA1
227950	AL590128.1
270171	AL359881.3
270035	AL359881.2
269978	AL359881.1
49245	VAMP3
49246	PER3
49247	UTS2
49249	TNFRSF9
270330	AL009183.1
116288	PARK7
284716	AL034417.3
116285	ERRFI1
238290	AL034417.2
232848	AL034417.1
229305	AL358876.1
227634	LINC01714
233645	AL358876.2
162426	SLC45A1
142599	RERE
270282	AL096855.2
234619	RPL7P11
224315	RPL7P7
226545	AL357552.1
228423	AL357552.2
229716	RPL23AP19
74800	ENO1
238249	HMGN2P17
232208	AL139415.1
232663	AL139415.2
131686	CA6
