gene	ensembl_id
AFM	79557
AFMID	183077
AFP	81051
AFTPH	119844
AGA	38002
AGAP1	157985
AGAP11	271880
AGAP2	135439
AGAP3	133612
AGAP5	172650
AGAP6	204149
AGAP9	204172
AGBL1	166748
AGBL2	165923
AGBL3	146856
AGBL4	186094
AGBL5	84693
AGFG1	173744
AGFG2	106351
AGGF1	164252
AGL	162688
AGMAT	116771
AGMO	187546
AGPAT2	169692
AGPAT3	160216
AGPAT4	26652
AGPAT5	155189
AGPS	18510
AGR2	106541
AGR3	173467
AGRN	188157
AGRP	159723
AGT	135744
AGTPBP1	135049
AGTR1	144891
AGTR2	180772
AGTRAP	177674
AGXT	172482
AGXT2	113492
AHCTF1	153207
AHCY	101444
AHCYL1	168710
AHCYL2	158467
AHDC1	126705
AHI1	135541
AHNAK	124942
AHNAK2	185567
AHR	106546
AHRR	63438
AHSA1	100591
AHSA2	173209
AHSG	145192
AHSP	169877
AICDA	111732
AIDA	186063
AIF1L	126878
AIFM1	156709
AIFM2	42286
AIFM3	183773
AIG1	146416
AIM1	112297
AIM1L	176092
AIM2	163568
AIMP1	164022
AIMP2	106305
AIP	110711
AIPL1	129221
AIRE	160224
AJAP1	196581
AK1	106992
AK2	4455
AK3	147853
AK4	162433
AK5	154027
AK7	140057
AK8	165695
AKAP1	121057
AKAP10	108599
AKAP11	23516
AKAP12	131016
AKAP13	170776
AKAP14	186471
AKAP2	241978
AKAP3	111254
AKAP4	147081
AKAP5	179841
AKAP6	151320
AKAP7	118507
AKAP8	105127
AKAP8L	11243
AKAP9	127914
AKIP1	166452
AKIRIN1	174574
AKIRIN2	135334
AKNA	106948
AKNAD1	162641
AKR1A1	117448
AKR1B1	85662
AKR1B10	198074
AKR1B15	227471
AKR1C1	187134
AKR1C2	151632
AKR1C4	198610
AKR1D1	122787
AKR1E2	165568
AKR7A2	53371
AKR7A2P1	229020
AKR7A2P1	280751
AKR7A3	162482
AKR7L	211454
AKT1	142208
AKT1S1	204673
AKT2	105221
AKTIP	166971
ALAD	148218
ALAS1	23330
ALAS2	158578
ALB	163631
ALCAM	170017
ALDH16A1	161618
ALDH18A1	59573
ALDH1A1	165092
ALDH1A2	128918
ALDH1A3	184254
ALDH1B1	137124
ALDH1L1	144908
ALDH1L2	136010
ALDH2	111275
ALDH3A1	108602
ALDH3A2	72210
ALDH3B1	6534
ALDH3B2	132746
ALDH4A1	159423
ALDH5A1	112294
ALDH6A1	119711
ALDH7A1	164904
ALDH8A1	118514
ALDH9A1	143149
ALDOA	149925
ALDOB	136872
ALDOC	109107
ALG1	33011
ALG10	139133
ALG10B	175548
ALG11	253710
ALG12	182858
ALG13	101901
ALG14	172339
ALG1L	189366
ALG1L2	251287
ALG2	119523
ALG3	214160
ALG5	120697
ALG6	88035
ALG8	159063
ALG9	86848
ALK	171094
ALKBH1	100601
ALKBH2	189046
ALKBH3	166199
ALKBH4	160993
ALKBH5	91542
ALKBH6	239382
ALKBH7	125652
ALKBH8	137760
ALLC	151360
ALMS1	116127
ALOX12	108839
ALOX12B	179477
ALOX12P2	262943
ALOX15	161905
ALOX15B	179593
ALOX5AP	132965
ALOXE3	179148
ALPI	163295
ALPK1	73331
ALPK2	198796
ALPK3	136383
ALPL	162551
ALPP	163283
ALPPL2	163286
ALS2	3393
ALS2CL	178038
ALS2CR11	155754
ALS2CR12	155749
ALX1	180318
ALX3	156150
ALX4	52850
AMACR	242110
AMBN	178522
AMBP	106927
AMBRA1	110497
AMD1	123505
AMDHD1	139344
AMDHD2	162066
AMELX	125363
AMELY	99721
AMFR	159461
AMH	104899
AMHR2	135409
AMIGO1	181754
AMIGO2	139211
AMIGO3	176020
AMMECR1	101935
AMMECR1L	144233
AMN	166126
AMN1	151743
AMOT	126016
AMOTL1	166025
AMOTL2	114019
AMPD1	116748
AMPD2	116337
AMPD3	133805
AMPH	78053
AMT	145020
AMTN	187689
AMY1A	237763
AMY1B	174876
AMY1C	187733
AMY2A	243480
AMY2B	240038
AMZ1	174945
AMZ2	196704
AMZ2P1	214174
ANAPC1	153107
ANAPC10	164162
ANAPC11	141552
ANAPC13	129055
ANAPC16	166295
ANAPC2	176248
ANAPC4	53900
ANAPC5	89053
ANAPC7	196510
ANG	214274
ANGEL1	13523
ANGEL2	174606
ANGPT1	154188
ANGPT2	91879
ANGPT4	101280
ANGPTL1	116194
ANGPTL2	136859
ANGPTL3	132855
ANGPTL4	167772
ANGPTL5	187151
ANGPTL6	130812
ANGPTL7	171819
ANK1	29534
ANK2	145362
ANK3	151150
ANKAR	151687
ANKDD1A	166839
ANKFN1	153930
ANKFY1	185722
ANKH	154122
ANKHD1	131503
ANKHD1-EIF4EBP3	254996
ANKIB1	1629
ANKK1	170209
ANKLE1	160117
ANKLE2	176915
ANKMY1	144504
ANKMY2	106524
ANKRA2	164331
ANKRD1	148677
ANKRD10	88448
ANKRD11	167522
